id;Label;
30227;Steve Martin;
30228;Jane Curtin;
30230;Chevy Chase;
30232;Bill Murray;
30233;Brian Doyle-Murray;
30234;Mike Myers;
30235;Michael Rosenbaum;
30241;Danny DeVito;
30242;Steven Wright;
30243;Michael Richards;
30246;Christine Taylor;
30255;Louis Prima;
30256;Clara Bow;
30257;Emil Jannings;
30260;Sean Astin;
30262;Julie Kavner;
30263;Nancy Cartwright;
30264;Hank Azaria;
30265;Tress MacNeille;
30270;JosÃ© Ferrer;
30271;Sean Penn;
30280;Devon Sawa;
30282;Donald Sutherland;
30283;Paul Giamatti;
30285;Richard Harris;
30286;Toshiro Mifune;
30287;Alice Cooper;
30292;Laurie Anderson;
30295;Lon Chaney; Jr.
30298;Lucy Liu;
30303;Lily Tomlin;
30305;Warner Baxter;
30306;Chester Morris;
30307;Lewis Stone;
30308;Wallace Beery;
30309;Ronald Colman;
30312;Blink-182;
30313;Jackie Gleason;
30317;Eddie Izzard;
30318;Ja Rule;
30319;Kevin Costner;
30321;Kenny Baker;
30322;Chris Farley;
30323;Jonathan Pryce;
30326;Adolphe Menjou;
30327;Jackie Cooper;
30330;Steve McQueen;
30332;Glynis Johns;
30333;Joan Greenwood;
30334;Jackie Chan;
30335;Frank Morgan;
30336;William Powell;
30337;Franchot Tone;
30338;Walter Huston;
30339;Isabelle Huppert;
30340;Marlene Dietrich;
30341;Nichelle Nichols;
30342;Bob Newhart;
30345;Raymond Massey;
30346;Walter Pidgeon;
30347;Monty Woolley;
30348;Paul Lukas;
30350;Alexander Knox;
30356;Sugar Ray Robinson;
30357;Peter Stormare;
30360;Raquel Welch;
30361;Ryan Stiles;
30365;William Holden;
30367;Shirley MacLaine;
30368;Myrna Loy;
3037;Jeremy Foley;
30370;Alastair Sim;
30380;Melissa Joan Hart;
30383;Donald Pleasence;
30384;Leif Erickson;
30386;James Coburn;
30387;Danielle Fishel;
30390;Emma Watson;
30394;Willie Nelson;
30395;Eddie Bracken;
30398;John Garfield;
30399;Michael Redgrave;
304;Chris Klein;
30400;Lew Ayres;
30404;Montgomery Clift;
30405;Maggie Cheung;
30406;Gong Li;
30407;Harpo Marx;
30410;Catherine Zeta-Jones;
30411;Ted Lewis;
30412;Hugh Laurie;
30415;SisqÃ³;
30416;Cantinflas;
30417;Bernard Bresslaw;
30421;Bill Bailey;
30422;Dean Martin;
30423;Rowan Atkinson;
30425;John Junkin;
30427;Vincent Price;
30430;Don Rickles;
30431;Mae Whitman;
30432;Sean Combs;
30434;Christina Vidal;
30437;Zsa Zsa GÃ¡bor;
30442;Joyce Grenfell;
30445;Jane Horrocks;
30447;Daniel Radcliffe;
30449;Phil Collins;
30451;John Mills;
30453;Robert Powell;
30457;Richard Gere;
30458;Kathryn Grayson;
30460;Timothy Dalton;
