Id;Label
1985;Closer
1986;K-9
1987;Tonite Let's All Make Love in London
1988;Road Trip
1989;Darkness Falls
199;Rope
1990;Identity
1991;Ginger Snaps 2: Unleashed
1992;Kiss the Girls
1993;All the King's Men
1994;Mifune's Last Song
1995;Mickey's Twice Upon a Christmas
1996;Stigmata
1997;Mimic
1998;Double Tap
1999;Goodbye, Mr. Chips
2;Batman
20;Manufacturing Consent: Noam Chomsky and the Media
200;Z
2000;Sink the Bismarck!
2001;[[Voodoo Academy]]
2002;Riding the Bullet
2003;The Way of All Flesh
2004;Scrooge
2005;Hero
2006;The Line, the Cross and the Curve
2007;Fahrenheit 9/11Â½
2008;Scratch
2009;The Enforcer
201;La Reine Margot
2010;Heart of Glass
2012;Override
2013;Teddy Bear
2014;The Shining
2015;Born in East L.A.
2016;Ecstasy
2017;The Big Bounce
2018;Book of Shadows: Blair Witch 2
2019;Intermission
202;Ran
2020;Presumed Innocent
2021;Imagining Argentina
2022;Hide and Seek
2023;Godzilla
2024;Wilde
2025;Robotech: The Shadow Chronicles
2026;CKY
2027;How to Kill Your Neighbor's Dog
2028;The Order
2029;The Order
203;Planet of the Apes
2030;Chicken Little
2031;Oliver Twist
2032;Domino
2033;Baywatch: Hawaiian Wedding
2034;Hype!
2035;2010: The Year We Make Contact
2036;Car Wash
2037;The Shining
2038;Rules of Engagement
2039;Aces High
204;Poor Little Rich Girl
2040;Bright Eyes
2041;Provocateur
2042;King Rat
2043;Jin-Roh: The Wolf Brigade
2044;King David
2045;Titanic
2046;Puss in Boots
2047;That Darn Cat!
2048;Trick... or Treat?
2049;"From Time to Time/""De Temps en Temps"""
205;The Producers
2050;I, Claudia
2051;Castaway
2052;The Fan
2053;The Broken Hearts Club: A Romantic Comedy
2054;High Voltage
2055;World War III
2056;The Testaments: Of One Fold and One Shepherd
2057;Look at Me
2058;Someone Like You
2059;Prey for Rock & Roll
206;Red River
2060;The Little Rascals
2061;Constantine
2062;Nu, pogodi!
2063;Queen Bee
2064;Geri's Game
2065;Gumshoe
2066;Homeward Bound: The Incredible Journey
2067;Weekend at Bernie's II
2068;Bagi, the Monster of Mighty Nature
2069;The Killing Fields
207;Regeneration
2070;Devil's Gate
2071;Oliver Twist
2072;Shogun
2073;Von Ryan's Express
2074;That's Entertainment!
2075;That's Entertainment III
2076;That's Dancing!
2077;Young Dr. Kildare
2078;Junior
2079;Tommy
208;The River
2080;Vincent
2081;Dunkirk
2082;Curdled
2083;My Best Friend's Birthday
2084;That Was Then... This Is Now
2085;Nowhere
2086;Face to Face
2087;Central do Brasil
2088;Pigskin Parade
2089;Topper
209;Safety Last!
2090;Beauty and the Beast
2091;Penn & Teller Get Killed
2092;No Retreat, No Surrender
2093;Silver City
2094;Lemony Snicket's A Series of Unfortunate Events
